,index,created_at,id,text,partei,score,Stimmung
703,5,2022-09-10 00:53:03,1568402135682793473,"#Kern zurück zur #SPÖ? Mehr Expertise als andere: Auch wenn er selbst es nach wie vor dementiert, werden derzeit Spekulationen rund um Christian Kerns Comeback in die Politik immer wieder befe... https://t.co/nW4xpxW40i",SPÖ,0.0,neutral
704,6,2022-09-10 00:14:37,1568392463655501836,@BgmLudwig @derkandidat_vdb Was der sich wohl über Ihre 10 Mrd. denkt. Treten Sie bis zu BP-Wahl noch zurück? #spoe #WienEnergie,SPÖ,0.0,neutral
705,7,2022-09-09 21:24:50,1568349736331087874,"@IngridFuhrmann3 @JustoQua Deswegen bin ich ja froh, dass nicht 10000 #SPÖ Politiker in Allen Sozialen Medien 24/7 die 🟩 anpöbeln weil die nicht endlich den Koalitionsvertrag brechen und der #SPÖ die Neuwahlen verschaffen, die sie sich so stark wünschen.",SPÖ,0.0,neutral
706,8,2022-09-09 20:47:49,1568340421750964224,"Dieser Wunsch der #SPÖ mit den #NeOS und den #Grüne|n die nächste Koalition zu bilden, macht diese Partei für mich UNWÄHLBAR.",SPÖ,0.0,neutral
707,9,2022-09-09 20:44:17,1568339533594337288,"@senad_lacevic Lieber Senad. Ganz ehrlich gesagt, haben die NeOS NICHTS in einer Regierung verloren. Das klingt schon so ein bisschen wie die Ansprache der #Grüne|n ,besser wir als die #FPÖ‘.  Diese Näher der #SPÖ zu diesen Neoliberalen schreckt mich ab, die #SPÖ zu wählen!",SPÖ,0.0,neutral
708,0,2022-09-10 07:29:44,1568501964236800001,"@ORFBreakingNews Wenn die Sachslehner der #ÖVP schon zu heftig wird!
Oder die ÖVP hat die Sachslehner geopfert, um die Ehe mit der Maurer nicht zu gefährden! 🤷🏻‍♂️",ÖVP,0.0,neutral
709,1,2022-09-10 07:29:32,1568501912974270464,"@derStandardat beschreibt hier ziemlich gut wie aus einem Gesetz dass gemeinsam beschlossen wurde (auch von #övp und #fpö !) im Wahlkampf plötzlich zum thema wird. Kann aber auch sein, dass sie damals nicht wussten was sie beschließen, was noch schlimmer wäre… https://t.co/VIXwRlA0JB",ÖVP,0.0,neutral
710,2,2022-09-10 07:28:02,1568501538221445123,"@stefansengl Eh.
Aber die #ÖVP zieht wenigstens Konsequenzen aus parteischädigendem Verhalten, in der @SPOE_at sitzt @deutsch_ch wahrscheinlich bis zur Wahl auf seinem Sessel und versemmelt dieselbe wieder...",ÖVP,0.0,neutral
711,3,2022-09-10 07:28:00,1568501527660085248,"@l_sachslehner hat vollkommen recht, es ist eine Witz und eine Verhöhnung der arbeitenden Bevölkerung, dass der #Klimabonus an #Asylbewerber und verurteilte Gefängnisinsassen gezahlt, da denen die Energiekosten sowieso bezahlt werden! #sachslehner #oevp #Entlastungspaket",ÖVP,0.0,neutral
712,4,2022-09-10 07:27:33,1568501417127849986,"Wenn die #OEVP jetzt Frau Sachslehner durch Herrn Hanger ersetzt, dann scheint ihnen die Geschwindigkeit auf ihrer ""Road To Zero"" wohl immer noch zu niedrig.",ÖVP,0.0,neutral
713,5,2022-09-10 07:27:20,1568501361708253184,Schade dass die ganzen Highflyer der #ÖVP so schnell wieder fallen. #Sachslehner,ÖVP,0.0,neutral
714,6,2022-09-10 07:26:17,1568501098192990208,"Vielleicht kann in der #ÖVP eine Debatte beginnen:

Was lernt unser Partei-Nachwuchs eigentlich in JVP und Akademie?

#Kurz, #Blümel, #Schmid, #Sachslehner… der Parteinachwuchs kann Rhetorik, aber kein nachhaltiges politisches Handwerk und ist moralisch total desorientiert.",ÖVP,0.0,neutral
