name,Super98,Super95,Diesel,PLZ,land,bundesland,bezirk,stadt,strasse,datum,zeit,coordinates_X,coordinates_Y
Turmöl Quick,0,1.673,0,4663,at,Oberösterreich,Gmunden,Laakirchen,Gmundnerstr. 35,3.11.2022,10:9:19,13.8203361,47.975562
AVIA Xpress (Automaten-Tankstelle),0,1.859,2.159,5580,at,Salzburg,Tamsweg,Tamsweg,Zinsgasse 21,3.11.2022,10:9:31,13.80501,47.132756
JVG JOHANNA - GARAGE GmbH,0,1.669,1.989,1050,at,Wien,Margareten,Wien,Johannagasse 28,3.11.2022,10:9:54,16.3473292,48.1854701
AVIA XPress (unser Service: Luft und Wasser),0,1.764,2.044,3843,at,Niederösterreich,Waidhofen/Thaya,Dobersberg,Waidhofener Straße 8,3.11.2022,10:9:9,15.320799,48.913686
Genol Lagerhaus Tankstelle,0,1.749,0,3261,at,Niederösterreich,Scheibbs,Steinakirchen,Am Burgersteg 5,3.11.2022,10:9:7,15.0503835,48.066906
www.voegel-trans.at,0,0,2.028,6933,at,Vorarlberg,Bregenz,Doren,Säge 156,3.11.2022,10:9:50,9.85336304,47.49052893
Genol - Lagerhaus,0,0,1.999,4173,at,Oberösterreich,Rohrbach,St. Veit ,Hansbergstrasse 22,3.11.2022,10:9:24,14.1568711,48.4675476
Sprint,0,1.692,1.992,8055,at,Steiermark,Graz,Graz,Triester Str. 328,3.11.2022,10:9:35,15.430686098181837,47.032970729609076
Turmöl Quick,0,1.714,2.013,3653,at,Niederösterreich,Melk,Weiten,Weiten 1,3.11.2022,10:9:3,15.2628862,48.2942038
Turmöl Quick,0,1.688,1.989,8570,at,Steiermark,Voitsberg,Voitsberg,Grazer Vorstadt 70,3.11.2022,10:9:39,15.1588515,47.0446452
Turmöl,0,1.799,0,9632,at,Kärnten,Hermagor,Kirchbach,Hauptstraße 94,3.11.2022,10:8:45,13.1799,46.64273
Turmöl Quick,0,1.699,1.989,8463,at,Steiermark,Leibnitz,Leutschach,Schlossberg 202,3.11.2022,10:9:36,15.4701057,46.6614397
Maroltinger Tankstelle,0,1.699,1.992,1160,at,Wien,Ottakring,Wien, Maroltingergasse 66,3.11.2022,10:9:59,16.3058551,48.2102455
avanti - Mauthausen Machlandstraße 5,0,1.694,1.989,4310,at,Oberösterreich,Perg,Mauthausen,Machlandstrasse 5,3.11.2022,10:9:22,14.53427,48.24347
Lagerhaus-Tankstelle 24 h,0,1.859,0,5580,at,Salzburg,Tamsweg,Tamsweg,Wöltingerstrasse 9a,3.11.2022,10:9:31,13.8082987,47.1346161
Turmöl Quick,0,1.723,2.015,3910,at,Niederösterreich,Zwettl,Zwettl,Kremserstraße 34,3.11.2022,10:9:11,15.1781478,48.6053521
Amort Tankstelle,0,1.809,2.039,6632,at,Tirol,Reutte,Ehrwald,Zugspitzstraße 19,3.11.2022,10:9:48,10.9156661,47.4104444
GENOL-LAGERHAUS,0,1.739,0,4240,at,Oberösterreich,Freistadt,Freistadt,Trölsberg 71,3.11.2022,10:9:18,14.4869588,48.4958148
Turmöl,0,0,1.999,9122,at,Kärnten,Völkermarkt,st.kanzian,klopeiner straße 6,3.11.2022,10:8:49,14.5751988,46.6149122
Diesel Prommegger St. Michael,0,0,2.119,5582,at,Salzburg,Tamsweg,St. Michael,Gewerbestraße 649,3.11.2022,10:9:31,13.6314642,47.0968149
AVIA,0,1.769,2.049,3830,at,Niederösterreich,Waidhofen/Thaya,Waidhofen/Thaya,Heidenreichsteiner Straße 25,3.11.2022,10:9:9,15.2768885,48.8183833
Turmöl Quick,0,1.737,2.017,9500,at,Kärnten,Villach,Villach,Triglavstraße 1,3.11.2022,10:8:44,13.8435871,46.5939688
Disk TANKAUTOMAT,0,1.774,2.064,6752,at,Vorarlberg,Bludenz,Dalaas,Klostertalerstraße 100,3.11.2022,10:9:49,10.0052375,47.123429
Turmöl Quick,0,1.728,2.008,9963,at,Tirol,Lienz,St. Jakob,Innerrotte 50,3.11.2022,10:9:47,12.3338164,46.9151971
DICKINGER Agrarhandel GmbH,0,0,1.979,4655,at,Oberösterreich,Gmunden,Vorchdorf,Stampfstraße 3,3.11.2022,10:9:18,13.9188821,48.0051382
Diesel-Klösch,0,0,1.992,8530,at,Steiermark,Deutschlandsberg,Deutschlandsberg,Mostbauerstrasse 3,3.11.2022,10:9:34,15.2361085,46.8271642
RUDOLF,0,0,1.989,9100,at,Kärnten,Völkermarkt,Völkermarkt,Klagenfurter Strasse 46,3.11.2022,10:8:49,14.6136657,46.657907
Turmöl Quick,0,1.689,1.989,2472,at,Niederösterreich,Bruck/Leitha,Prellenkirchen,Deutsch Altenburgerstraße 1,3.11.2022,10:8:55,16.9466248,48.0768643
SOCAR Leoben-I,0,1.734,0,8700,at,Steiermark,Leoben,Leoben,Kärntner Straße 105,3.11.2022,10:9:36,15.1055575,47.3801846
SOCAR Feldkirchen,0,1.693,1.991,9560,at,Kärnten,Feldkirchen,Feldkirchen,Doktor-Arthur-Lemisch-Straße 7,3.11.2022,10:8:51,14.089773,46.726235
SB DISKONT plus,0,1.688,1.988,8583,at,Steiermark,Voitsberg,Edelschrott,Packerstrasse 50,3.11.2022,10:9:39,15.0553276,47.0239873
Turmöl Quick,0,0,2.034,2243,at,Niederösterreich,Gänserndorf,Matzen,Reyerdorfer Straße 4a,3.11.2022,10:8:56,16.6948144,48.3976496
AVIA Xpress,0,1.712,2.023,4600,at,Oberösterreich,Wels,Wels,Reitschulgasse 9,3.11.2022,10:9:14,14.0346315,48.1670468
BP,0,1.719,0,1210,at,Wien,Floridsdorf,Wien,Donaufelderstr.91 ,3.11.2022,10:10:1,16.4184148,48.2532979
